S0-T0, S0-T1, S0-T2, S0-T3, S0-T4, S0-T5, S0-T6, S0-T7, S0-T8, S0-T9, S1-T0, S1-T1, S1-T2, S1-T3, S1-T4, S1-T5, S1-T6, S1-T7, S1-T8, S1-T9, 
wear (0.002422834529726654), wear (0.0023698988824518877), recommend (0.0023636498887709546), wear (0.002458065687562075), hour (0.0023673617532779124), bose (0.002423165226662584), design (0.0024389356486487945), right (0.002348851759814628), bose (0.0023888930613884495), recommend (0.0023763925533525116), fit (0.002824799150612136), set (0.0028639604069723087), day (0.0029073927987936913), piec (0.002909354966906041), listen (0.002944127159413954), plug (0.002928051902392625), around (0.0028141239192611333), disappoint (0.0027564091290474216), need (0.0028792922655630697), realli (0.0029081789145877944), 
,,,,,,,,,,,,,,,,,,,,
recommend (0.0024122668603349146), beat (0.002360823777272002), design (0.002330149338988695), cancel (0.0024464771117081647), beat (0.0023467871806216), recommend (0.0023940010191754947), hour (0.002388124489027776), wear (0.002342312640179258), beat (0.002333704112468879), bose (0.002375086125333518), still (0.00277981315060398), last (0.002832098474257749), earphon (0.0028541700271733188), wire (0.0028955768634014883), nois (0.002892896904482529), better (0.0028743026920177157), littl (0.002796413090177131), turn (0.002687797205246948), side (0.0028605202061299227), fit (0.002814449517591212), 
,,,,,,,,,,,,,,,,,,,,
design (0.002382093201967366), recommend (0.0023348949053294717), bose (0.002321464011267368), bose (0.002420724720921697), need (0.002326212607965288), right (0.0023458166763707386), bought (0.002388124489027776), need (0.0023318500487626657), right (0.002323191931722294), beat (0.0023711668412765385), purchas (0.002757320150599902), make (0.0027775718677565437), ive (0.0028263670867746168), charg (0.0028596812779554163), plug (0.0028753424814640686), receiv (0.002820233545866765), realli (0.0027379041012389094), piec (0.002655977182614844), bud (0.002847209109440964), littl (0.0027467203985286136), 
,,,,,,,,,,,,,,,,,,,,
cancel (0.002370657523225327), bose (0.002325819800149586), need (0.002314019444649088), recommend (0.0023447551681016177), rang (0.002285063462652664), hour (0.0023001683516083384), bose (0.002364673184587306), hour (0.002309617042002407), need (0.0023153077961623556), hour (0.0023254418606117743), cabl (0.002690162479159155), come (0.002776914920690264), year (0.002787442970216434), make (0.0028161714774147225), never (0.0028044082823282497), year (0.002819913610090724), connect (0.0027129191816382633), earphon (0.002633437999917104), replac (0.0028390176653246817), made (0.0027380536392172857), 
,,,,,,,,,,,,,,,,,,,,
right (0.0023504866392755138), cancel (0.002318041138566827), cancel (0.002311537922442995), design (0.002325440875011767), bose (0.0022773479979065468), need (0.0022989003425871605), thing (0.0023555532328604564), recommend (0.002300462274512889), hour (0.0023034815928224474), wear (0.002324135432592781), side (0.0026728107362988664), year (0.0027700169764943283), come (0.002769569651388697), bud (0.0027860771987074096), hear (0.0027571188162377035), price (0.0028035968855126265), got (0.00271007279839262), purchas (0.0025777529603109224), still (0.0028171738143479286), receiv (0.0027011396643727417), 
,,,,,,,,,,,,,,,,,,,,
way (0.002311687999109753), hour (0.0022752584998616517), beat (0.002304093355824715), soni (0.002285524669292742), thing (0.0022632029792053325), way (0.002296364324544805), need (0.002343827580640221), year (0.0022873840352421486), design (0.002281143208735955), right (0.0023149904364598278), come (0.002658350950581959), turn (0.0026928256962064773), left (0.002753682256875153), plug (0.0027766500752569256), batteri (0.002671496222331336), hear (0.0027530470328981285), feel (0.002692678234113689), wire (0.002540629600573468), fit (0.002795329963371176), cabl (0.002685732092263714), 
,,,,,,,,,,,,,,,,,,,,
hour (0.0023103928740474014), right (0.0022648869510846397), hour (0.0022867227003820615), thing (0.002252046561270334), year (0.0022490579605041177), year (0.0022874882613965605), cancel (0.002307347773732823), bose (0.002267766676336038), cancel (0.002273259073176016), say (0.0023123775804218412), design (0.002581874750568094), fit (0.00268855554027566), wire (0.002728659610516321), also (0.0027708487685181664), run (0.00265931560227771), still (0.002735130629439825), ive (0.0026835065547666163), littl (0.002533337512053611), purchas (0.00275744453433337), bud (0.00267257145775392), 
,,,,,,,,,,,,,,,,,,,,
rang (0.002292261123174482), thing (0.0022545154023076277), rang (0.0022681112838363617), right (0.002252046561270334), right (0.002237484763384942), beat (0.0022672001170577155), recommend (0.002302136372746052), beat (0.00225861190884652), clear (0.002271945050582693), year (0.002257507603624124), star (0.0025760908362813307), wire (0.0026816575960797247), hear (0.002704034149020328), year (0.002763234553423545), star (0.0026363873762944154), littl (0.0027338508863356606), bud (0.002679711377105759), got (0.002515107290753968), jack (0.0027420855766153406), earbud (0.0025968175615512035), 
,,,,,,,,,,,,,,,,,,,,
year (0.0022406076778685737), say (0.002233772304753603), clear (0.002237092256260195), hour (0.0022404579854164238), cancel (0.0022246256554747474), design (0.0022583240539094714), way (0.0023008335224993593), way (0.002232455430305039), say (0.0022390944857496155), rang (0.0022548947475861374), poor (0.0025131104362699124), doesnt (0.002649467189832025), bose (0.0026746424691702713), put (0.0027585209916983033), cheap (0.0026163251785590322), disappoint (0.002723932877278386), right (0.0026743348754195437), bud (0.002509472495079533), never (0.002703176217063), cancel (0.0025964965704655986), 
,,,,,,,,,,,,,,,,,,,,
need (0.0022129416020685564), year (0.002225993643170844), right (0.0022246846452297284), year (0.0022365951267984538), way (0.002209194725982513), thing (0.002235499891528271), rang (0.0022878050200324314), rang (0.0022115302474718544), recommend (0.002210185988696507), need (0.0022535883195671444), got (0.0024999359648389527), never (0.002596254477463379), way (0.0026655072173249836), side (0.002717549262855817), got (0.002610234868532219), right (0.002642669190163939), star (0.0026661119904876854), two (0.0025045006165432667), devic (0.0026338902522461114), got (0.0025852618824694328), 
,,,,,,,,,,,,,,,,,,,,
soni (0.002204192618934587), design (0.0022104363200053257), thing (0.0022172400786114486), say (0.0022250065509445433), say (0.0021847624209531424), rang (0.0022025316569776487), right (0.0022565366141118043), long (0.0022076067756906324), thing (0.002208871966103184), thing (0.002240524039377212), new (0.002441132836256863), two (0.002573589803676733), amazon (0.0026321436888465414), fit (0.0026823788407520895), wire (0.0026052193190983734), start (0.002624752786705636), amazon (0.002652196339064541), receiv (0.0025001916551451696), wire (0.002580645865490276), never (0.002541607094827189), 
,,,,,,,,,,,,,,,,,,,,
thing (0.002193666283321433), long (0.002158578576120265), way (0.002196147139859655), way (0.0022056922578546924), recommend (0.0021821905993711036), say (0.002199995638935293), long (0.002234388159918027), thing (0.0021749111775137813), pretti (0.002198359785356599), cancel (0.002209169766921373), around (0.002440811507685376), piec (0.0025036249411179573), volum (0.002582892765854555), way (0.002682016259080917), fit (0.0025794250648671665), differ (0.002618993942736896), head (0.002644289718937754), hear (0.0024905793566417215), poor (0.002568017389144341), cheap (0.002521705647519696), 
,,,,,,,,,,,,,,,,,,,,
beat (0.0021809079236646523), clear (0.0021507999145375057), year (0.0021762949622109087), need (0.0021992541601580755), design (0.0021564723835507133), long (0.0021061629713681365), say (0.002223965357944485), clear (0.0021644485860971893), rang (0.0021917896723899835), way (0.002179121922484528), cheap (0.0024353489219701), connect (0.0024612518553429243), got (0.002571771589695074), still (0.0026711388089457437), head (0.0025747677689643097), got (0.0026129151629921145), never (0.002506398263926593), put (0.0024882591466581306), someth (0.002540371265251888), poor (0.00251047095952353), 
,,,,,,,,,,,,,,,,,,,,
